City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,newman,37.3138,-121.0208,18.089999999999975,35,6,1.98,US,1698718307
66,papatowai,-46.5619,169.4708,19.079999999999984,46,100,2.37,NZ,1698718307
67,shetpe,44.1667,52.1167,9.629999999999995,77,0,1.47,KZ,1698718308
68,port mathurin,-19.6833,63.4167,24.529999999999973,81,53,8.16,MU,1698718309
69,akobo,7.4344,3.9497,24.439999999999998,88,100,1.51,NG,1698718311
70,nguigmi,14.2495,13.1092,27.79000000000002,15,100,5.14,NE,1698718312
71,qusmuryn,52.4503,64.6311,-0.4399999999999977,84,86,5.57,KZ,1698718313
72,linhares,-19.3911,-40.0722,23.519999999999982,81,100,1.9,BR,1698718063
73,bantogon,6.5333,124.0333,27.939999999999998,73,100,3.22,PH,1698718316
74,ca mau,9.1769,105.15,30.310000000000002,72,79,5.41,VN,1698718081
75,ushuaia,-54.8,-68.3,3.9599999999999795,65,75,10.29,AR,1698718316
76,petropavlovsk-kamchatsky,53.0452,158.6483,6.480000000000018,62,0,6.0,RU,1698718316
77,hawaiian paradise park,19.5933,-154.9731,26.879999999999995,87,100,3.6,US,1698718316
78,anadyr,64.75,177.4833,1.4300000000000068,93,40,2.0,RU,1698718317
79,san pedro pochutla,15.7333,-96.4667,25.49000000000001,82,95,0.96,MX,1698718044
80,abilene,32.4487,-99.7331,5.269999999999982,59,100,2.57,US,1698718306
81,qaqortoq,60.7167,-46.0333,5.740000000000009,57,100,10.03,GL,1698718317
82,ocho rios,18.4025,-77.1048,25.04000000000002,82,100,1.38,JM,1698718138
83,barranca,-10.75,-77.7667,18.129999999999995,93,100,5.64,PE,1698718318
84,rumoi,43.9344,141.6428,13.629999999999995,65,72,2.42,JP,1698718198
85,camapua,-19.5314,-54.0439,24.329999999999984,84,49,1.54,BR,1698718318
86,tazacorte,28.629,-17.9293,22.689999999999998,93,0,2.24,ES,1698718318
87,fort st. john,56.2499,-120.8529,4.089999999999975,52,75,2.57,CA,1698718318
88,nuuk,64.1835,-51.7216,10.490000000000009,29,75,8.23,GL,1698718319
89,port lincoln,-34.7333,135.8667,19.170000000000016,34,0,4.97,AU,1698718319
90,port elizabeth,-33.918,25.5701,15.310000000000002,85,0,5.14,ZA,1698718319
91,wailua homesteads,22.0669,-159.378,27.589999999999975,73,40,3.6,US,1698718319
92,geraldton,-28.7667,114.6,29.379999999999995,17,0,8.75,AU,1698718143
93,shingu,33.7333,135.9833,21.939999999999998,44,0,1.31,JP,1698718319
94,ust-nera,64.5667,143.2,-11.54000000000002,99,100,2.03,RU,1698718320
95,yellowknife,62.456,-114.3525,-1.839999999999975,100,75,2.06,CA,1698718320
96,longyearbyen,78.2186,15.6401,1.0600000000000023,69,75,1.54,SJ,1698718320
97,rio grande,-32.035,-52.0986,19.560000000000002,95,100,2.67,BR,1698718144
98,coquimbo,-29.9533,-71.3436,14.069999999999993,81,52,7.48,CL,1698718320
99,wanning,18.8003,110.3967,26.089999999999975,83,59,2.38,CN,1698718321
100,saskatoon,52.1168,-106.6345,-9.300000000000011,61,18,1.79,CA,1698718204
101,ghanzi,-21.5667,21.7833,18.920000000000016,84,8,7.25,BW,1698718321
102,st. john's,47.5649,-52.7093,1.6999999999999886,93,100,2.06,CA,1698718321
103,chonchi,-42.6128,-73.8092,3.5500000000000114,96,3,0.49,CL,1698718321
104,vadso,70.0744,29.7487,-0.7599999999999909,86,75,5.66,NO,1698718322
105,kodiak,57.79,-152.4072,7.8799999999999955,93,100,3.6,US,1698718323
106,east london,-33.0153,27.9116,13.329999999999984,86,25,4.07,ZA,1698718182
107,utrik,11.2278,169.8474,28.370000000000005,79,100,7.94,MH,1698718323
108,mangai,-4.05,19.5333,21.660000000000025,99,100,0.2,CD,1698718324
109,south hedland,-20.4089,118.5983,31.110000000000014,66,40,4.12,AU,1698718325
110,inderbor,48.55,51.7833,5.2099999999999795,75,69,3.98,KZ,1698718325
111,yeniseysk,58.4497,92.1703,-8.769999999999982,88,2,1.34,RU,1698718326
112,san antonio de pale,-1.4014,5.6325,26.49000000000001,84,100,6.45,GQ,1698718326
113,port lavaca,28.615,-96.6261,9.180000000000007,82,100,5.66,US,1698718326
114,college,64.8569,-147.8028,1.1200000000000045,83,75,0.0,US,1698718327
